optimizer,lr,batch_size,hidden_dim,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.0025,32,80,0.6807339449541284,0.724
<class 'torch.optim.adagrad.Adagrad'>,0.0025,16,160,0.6807339449541284,0.786
<class 'torch.optim.adam.Adam'>,0.005,64,120,0.6807339449541284,0.784
<class 'torch.optim.adam.Adam'>,0.0005,32,80,0.6807339449541284,0.778
<class 'torch.optim.adamw.AdamW'>,0.002,32,128,0.6798165137614679,0.764
<class 'torch.optim.adam.Adam'>,0.001,64,80,0.6798165137614679,0.794
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,180,0.6798165137614679,0.764
<class 'torch.optim.adagrad.Adagrad'>,0.025,128,180,0.6798165137614679,0.784
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,100,0.6798165137614679,0.752
<class 'torch.optim.adam.Adam'>,0.0002,32,140,0.6798165137614679,0.746
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,256,0.6798165137614679,0.75
<class 'torch.optim.adamw.AdamW'>,0.0005,128,150,0.6798165137614679,0.752
<class 'torch.optim.adam.Adam'>,0.002,32,200,0.6798165137614679,0.756
<class 'torch.optim.adagrad.Adagrad'>,0.002,64,256,0.6798165137614679,0.772
<class 'torch.optim.adam.Adam'>,0.0005,128,150,0.6788990825688074,0.782
<class 'torch.optim.adamw.AdamW'>,0.001,64,256,0.6788990825688074,0.798
<class 'torch.optim.adam.Adam'>,0.002,128,200,0.6788990825688074,0.728
<class 'torch.optim.adam.Adam'>,0.001,32,150,0.6788990825688074,0.796
<class 'torch.optim.adamw.AdamW'>,0.001,16,80,0.6779816513761467,0.782
<class 'torch.optim.adamw.AdamW'>,0.001,128,200,0.6779816513761467,0.762
<class 'torch.optim.adam.Adam'>,0.002,16,120,0.6779816513761467,0.764
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,180,0.6779816513761467,0.798
<class 'torch.optim.adam.Adam'>,0.0025,32,60,0.6779816513761467,0.76
<class 'torch.optim.adamw.AdamW'>,0.0025,128,120,0.6779816513761467,0.752
<class 'torch.optim.adamw.AdamW'>,0.0025,128,200,0.6779816513761467,0.776
<class 'torch.optim.adam.Adam'>,0.0025,128,200,0.6779816513761467,0.776
<class 'torch.optim.adamw.AdamW'>,0.001,16,128,0.6770642201834862,0.732
<class 'torch.optim.adam.Adam'>,0.0005,16,100,0.6770642201834862,0.784
<class 'torch.optim.adamw.AdamW'>,0.002,32,150,0.6770642201834862,0.746
<class 'torch.optim.adam.Adam'>,0.001,16,160,0.6770642201834862,0.756
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,150,0.6770642201834862,0.754
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,150,0.6761467889908257,0.742
<class 'torch.optim.adamw.AdamW'>,0.001,32,70,0.6761467889908257,0.736
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,128,0.6761467889908257,0.742
<class 'torch.optim.adamw.AdamW'>,0.001,64,100,0.6761467889908257,0.788
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,170,0.6752293577981652,0.754
<class 'torch.optim.adam.Adam'>,0.0002,16,90,0.6752293577981652,0.75
<class 'torch.optim.adamw.AdamW'>,0.001,128,140,0.6743119266055045,0.768
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,60,0.6743119266055045,0.748
<class 'torch.optim.adamw.AdamW'>,0.005,32,100,0.6743119266055045,0.75
<class 'torch.optim.adam.Adam'>,0.0005,128,120,0.6743119266055045,0.776
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,128,0.6743119266055045,0.8
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,100,0.6743119266055045,0.788
<class 'torch.optim.adam.Adam'>,0.002,128,90,0.6743119266055045,0.79
<class 'torch.optim.adamw.AdamW'>,0.0005,64,90,0.673394495412844,0.766
<class 'torch.optim.adamw.AdamW'>,0.0005,128,120,0.673394495412844,0.778
<class 'torch.optim.adam.Adam'>,0.0005,64,90,0.673394495412844,0.76
<class 'torch.optim.adam.Adam'>,0.001,128,200,0.673394495412844,0.748
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,140,0.6724770642201835,0.766
<class 'torch.optim.adamw.AdamW'>,0.0025,16,60,0.6724770642201835,0.786
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,100,0.6724770642201835,0.768
<class 'torch.optim.adamw.AdamW'>,0.002,64,120,0.6724770642201835,0.8
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,120,0.6724770642201835,0.77
<class 'torch.optim.adam.Adam'>,0.002,32,110,0.6724770642201835,0.768
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,256,0.6724770642201835,0.724
<class 'torch.optim.adam.Adam'>,0.0005,128,200,0.6724770642201835,0.726
<class 'torch.optim.adam.Adam'>,0.002,64,80,0.6724770642201835,0.806
<class 'torch.optim.adam.Adam'>,0.002,16,100,0.671559633027523,0.786
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,90,0.671559633027523,0.746
<class 'torch.optim.adam.Adam'>,0.001,16,80,0.671559633027523,0.782
<class 'torch.optim.adamw.AdamW'>,0.001,128,170,0.671559633027523,0.75
<class 'torch.optim.adam.Adam'>,0.001,16,110,0.671559633027523,0.774
<class 'torch.optim.adagrad.Adagrad'>,0.0025,32,170,0.671559633027523,0.752
<class 'torch.optim.adamw.AdamW'>,0.001,16,170,0.6706422018348623,0.724
<class 'torch.optim.adamw.AdamW'>,0.0005,128,160,0.6706422018348623,0.738
<class 'torch.optim.adam.Adam'>,0.002,128,160,0.6706422018348623,0.76
<class 'torch.optim.adam.Adam'>,0.001,128,150,0.6706422018348623,0.764
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,150,0.6706422018348623,0.776
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,200,0.6706422018348623,0.768
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,150,0.6706422018348623,0.756
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,140,0.6697247706422018,0.742
<class 'torch.optim.adam.Adam'>,0.002,128,110,0.6697247706422018,0.766
<class 'torch.optim.adamw.AdamW'>,0.001,32,180,0.6697247706422018,0.778
<class 'torch.optim.adam.Adam'>,0.002,64,120,0.6697247706422018,0.738
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,70,0.6697247706422018,0.748
<class 'torch.optim.adamw.AdamW'>,0.001,32,60,0.6688073394495413,0.73
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,90,0.6688073394495413,0.772
<class 'torch.optim.adamw.AdamW'>,0.001,16,160,0.6688073394495413,0.744
<class 'torch.optim.adam.Adam'>,0.0005,128,160,0.6688073394495413,0.738
<class 'torch.optim.adamw.AdamW'>,0.002,128,128,0.6688073394495413,0.748
<class 'torch.optim.adagrad.Adagrad'>,0.002,16,200,0.6688073394495413,0.748
<class 'torch.optim.adam.Adam'>,0.0025,64,80,0.6688073394495413,0.76
<class 'torch.optim.adamw.AdamW'>,0.0002,16,90,0.6688073394495413,0.756
<class 'torch.optim.adam.Adam'>,0.001,128,100,0.6688073394495413,0.786
<class 'torch.optim.adamw.AdamW'>,0.0005,128,140,0.6678899082568808,0.752
<class 'torch.optim.adamw.AdamW'>,0.001,32,150,0.6678899082568808,0.796
<class 'torch.optim.adam.Adam'>,0.002,64,110,0.6678899082568808,0.788
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,128,0.6678899082568808,0.736
<class 'torch.optim.adam.Adam'>,0.0001,16,180,0.6678899082568808,0.75
<class 'torch.optim.adam.Adam'>,0.0025,32,120,0.6669724770642201,0.758
<class 'torch.optim.adam.Adam'>,0.002,64,160,0.6669724770642201,0.77
<class 'torch.optim.adamw.AdamW'>,0.0025,64,150,0.6660550458715596,0.76
<class 'torch.optim.adam.Adam'>,0.0005,64,100,0.6660550458715596,0.786
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,140,0.6660550458715596,0.766
<class 'torch.optim.adamw.AdamW'>,0.0005,128,200,0.6660550458715596,0.722
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,90,0.6660550458715596,0.756
<class 'torch.optim.adam.Adam'>,0.0002,64,170,0.6660550458715596,0.718
<class 'torch.optim.adam.Adam'>,0.001,64,256,0.6651376146788991,0.784
<class 'torch.optim.adamw.AdamW'>,0.0025,32,60,0.6651376146788991,0.762
<class 'torch.optim.adam.Adam'>,0.002,128,128,0.6651376146788991,0.758
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,110,0.6642201834862386,0.746
<class 'torch.optim.adam.Adam'>,0.002,32,160,0.6642201834862386,0.762
<class 'torch.optim.adamw.AdamW'>,0.0025,64,120,0.6642201834862386,0.738
<class 'torch.optim.adamw.AdamW'>,0.002,64,100,0.6642201834862386,0.76
<class 'torch.optim.adamw.AdamW'>,0.0002,64,170,0.6642201834862386,0.716
<class 'torch.optim.adam.Adam'>,0.002,32,128,0.6642201834862386,0.744
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,160,0.6633027522935779,0.766
<class 'torch.optim.adamw.AdamW'>,0.001,64,150,0.6633027522935779,0.772
<class 'torch.optim.adamw.AdamW'>,0.0025,32,100,0.6633027522935779,0.796
<class 'torch.optim.adam.Adam'>,0.001,32,60,0.6623853211009174,0.726
<class 'torch.optim.adamw.AdamW'>,0.002,128,120,0.6623853211009174,0.74
<class 'torch.optim.adamw.AdamW'>,0.0002,32,128,0.6623853211009174,0.74
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,150,0.6614678899082569,0.78
<class 'torch.optim.adamw.AdamW'>,0.0002,32,120,0.6614678899082569,0.778
<class 'torch.optim.adam.Adam'>,0.0002,32,120,0.6614678899082569,0.78
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,110,0.6614678899082569,0.764
<class 'torch.optim.adamw.AdamW'>,0.0001,16,180,0.6614678899082569,0.74
<class 'torch.optim.adam.Adam'>,0.0025,128,100,0.6614678899082569,0.794
<class 'torch.optim.adagrad.Adagrad'>,0.0025,32,180,0.6614678899082569,0.754
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,90,0.6605504587155964,0.754
<class 'torch.optim.adamw.AdamW'>,0.0002,64,180,0.6605504587155964,0.742
<class 'torch.optim.adam.Adam'>,0.0025,128,128,0.6605504587155964,0.754
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,60,0.6605504587155964,0.734
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,200,0.6605504587155964,0.726
<class 'torch.optim.adam.Adam'>,0.002,128,180,0.6605504587155964,0.758
<class 'torch.optim.adamw.AdamW'>,0.0025,16,100,0.6605504587155964,0.738
<class 'torch.optim.adam.Adam'>,0.0002,64,180,0.6596330275229357,0.742
<class 'torch.optim.adam.Adam'>,0.0025,32,200,0.6596330275229357,0.74
<class 'torch.optim.adam.Adam'>,0.0005,32,60,0.6596330275229357,0.736
<class 'torch.optim.adamw.AdamW'>,0.0005,32,60,0.6596330275229357,0.734
<class 'torch.optim.adam.Adam'>,0.001,16,128,0.6596330275229357,0.762
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,180,0.6596330275229357,0.746
<class 'torch.optim.adamw.AdamW'>,0.0025,128,160,0.6587155963302752,0.768
<class 'torch.optim.adam.Adam'>,0.002,32,70,0.6587155963302752,0.748
<class 'torch.optim.adamw.AdamW'>,0.002,64,80,0.6587155963302752,0.718
<class 'torch.optim.adamw.AdamW'>,0.001,128,256,0.6587155963302752,0.762
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,180,0.6577981651376147,0.77
<class 'torch.optim.adam.Adam'>,0.0002,32,128,0.6577981651376147,0.74
<class 'torch.optim.adam.Adam'>,0.0025,64,140,0.6577981651376147,0.766
<class 'torch.optim.adamw.AdamW'>,0.0025,128,256,0.6577981651376147,0.698
<class 'torch.optim.adamw.AdamW'>,0.0025,32,150,0.6577981651376147,0.762
<class 'torch.optim.adamw.AdamW'>,0.0025,32,110,0.6577981651376147,0.78
<class 'torch.optim.adam.Adam'>,0.002,32,150,0.6577981651376147,0.72
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,180,0.6568807339449542,0.744
<class 'torch.optim.adagrad.Adagrad'>,0.0025,64,170,0.6568807339449542,0.73
<class 'torch.optim.adam.Adam'>,0.002,16,110,0.6568807339449542,0.77
<class 'torch.optim.adagrad.Adagrad'>,0.025,64,110,0.6568807339449542,0.754
<class 'torch.optim.adagrad.Adagrad'>,0.002,128,256,0.6568807339449542,0.766
<class 'torch.optim.adam.Adam'>,0.001,128,110,0.6568807339449542,0.752
<class 'torch.optim.adamw.AdamW'>,0.002,32,110,0.6559633027522935,0.77
<class 'torch.optim.adam.Adam'>,0.002,32,140,0.6559633027522935,0.762
<class 'torch.optim.adam.Adam'>,0.0005,64,110,0.6559633027522935,0.796
<class 'torch.optim.adamw.AdamW'>,0.0002,64,200,0.655045871559633,0.714
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,150,0.655045871559633,0.772
<class 'torch.optim.adamw.AdamW'>,0.002,16,140,0.655045871559633,0.61
<class 'torch.optim.adam.Adam'>,0.0002,64,200,0.655045871559633,0.716
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,100,0.6541284403669725,0.746
<class 'torch.optim.adam.Adam'>,0.0025,16,140,0.6541284403669725,0.756
<class 'torch.optim.adam.Adam'>,0.0025,32,150,0.6541284403669725,0.754
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,160,0.6541284403669725,0.766
<class 'torch.optim.adagrad.Adagrad'>,0.0025,32,200,0.653211009174312,0.728
<class 'torch.optim.adagrad.Adagrad'>,0.0025,128,256,0.653211009174312,0.756
<class 'torch.optim.adamw.AdamW'>,0.002,64,90,0.653211009174312,0.78
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,128,0.653211009174312,0.756
<class 'torch.optim.adagrad.Adagrad'>,0.002,16,160,0.653211009174312,0.732
<class 'torch.optim.adam.Adam'>,0.0002,64,160,0.6522935779816513,0.73
<class 'torch.optim.adamw.AdamW'>,0.005,128,100,0.6522935779816513,0.78
<class 'torch.optim.adamw.AdamW'>,0.001,32,256,0.6522935779816513,0.732
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,200,0.6522935779816513,0.732
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,128,0.6522935779816513,0.736
<class 'torch.optim.adamw.AdamW'>,0.0002,64,160,0.6522935779816513,0.73
<class 'torch.optim.adamw.AdamW'>,0.0002,128,256,0.6513761467889908,0.766
<class 'torch.optim.adagrad.Adagrad'>,0.0025,32,160,0.6513761467889908,0.758
<class 'torch.optim.adam.Adam'>,0.0005,128,128,0.6504587155963303,0.722
<class 'torch.optim.adam.Adam'>,0.0002,128,256,0.6504587155963303,0.766
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,160,0.6504587155963303,0.762
<class 'torch.optim.adamw.AdamW'>,0.0005,64,80,0.6504587155963303,0.752
<class 'torch.optim.adamw.AdamW'>,0.0005,128,128,0.6504587155963303,0.724
<class 'torch.optim.adamw.AdamW'>,0.0025,64,140,0.6504587155963303,0.742
<class 'torch.optim.adam.Adam'>,0.001,16,200,0.6495412844036698,0.704
<class 'torch.optim.adam.Adam'>,0.001,128,70,0.6486238532110091,0.726
<class 'torch.optim.adagrad.Adagrad'>,0.002,16,170,0.6477064220183486,0.696
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,140,0.6477064220183486,0.738
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,70,0.6477064220183486,0.754
<class 'torch.optim.adagrad.Adagrad'>,0.0025,16,180,0.6477064220183486,0.734
<class 'torch.optim.adam.Adam'>,0.0025,64,100,0.6477064220183486,0.764
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,80,0.6477064220183486,0.744
<class 'torch.optim.adam.Adam'>,0.0025,16,80,0.6467889908256881,0.732
<class 'torch.optim.adam.Adam'>,0.0001,16,160,0.6467889908256881,0.756
<class 'torch.optim.adagrad.Adagrad'>,0.0025,64,200,0.6467889908256881,0.736
<class 'torch.optim.adamw.AdamW'>,0.002,128,256,0.6458715596330276,0.768
<class 'torch.optim.adamw.AdamW'>,0.005,64,80,0.6458715596330276,0.736
<class 'torch.optim.adagrad.Adagrad'>,0.002,32,170,0.6458715596330276,0.712
<class 'torch.optim.adamw.AdamW'>,0.0005,16,60,0.6458715596330276,0.698
<class 'torch.optim.adamw.AdamW'>,0.0001,16,160,0.6458715596330276,0.756
<class 'torch.optim.adam.Adam'>,0.0025,16,70,0.6449541284403669,0.74
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,120,0.6449541284403669,0.746
<class 'torch.optim.adamw.AdamW'>,0.0025,64,90,0.6449541284403669,0.778
<class 'torch.optim.adam.Adam'>,0.0025,128,120,0.6449541284403669,0.746
<class 'torch.optim.adamw.AdamW'>,0.0005,64,70,0.6449541284403669,0.718
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,90,0.6449541284403669,0.74
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,160,0.6449541284403669,0.722
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,70,0.6449541284403669,0.742
<class 'torch.optim.adamw.AdamW'>,0.002,128,80,0.6440366972477064,0.72
<class 'torch.optim.adamw.AdamW'>,0.0002,32,100,0.6440366972477064,0.736
<class 'torch.optim.adamw.AdamW'>,0.0025,128,100,0.6440366972477064,0.758
<class 'torch.optim.adam.Adam'>,0.0002,32,100,0.6431192660550459,0.736
<class 'torch.optim.adam.Adam'>,0.0005,64,70,0.6431192660550459,0.712
<class 'torch.optim.adamw.AdamW'>,0.0025,128,150,0.6431192660550459,0.774
<class 'torch.optim.adamw.AdamW'>,0.001,128,80,0.6431192660550459,0.746
<class 'torch.optim.adamw.AdamW'>,0.001,128,90,0.6431192660550459,0.746
<class 'torch.optim.adagrad.Adagrad'>,0.002,32,180,0.6422018348623854,0.744
<class 'torch.optim.adamw.AdamW'>,0.0002,32,110,0.6422018348623854,0.748
<class 'torch.optim.adamw.AdamW'>,0.002,16,120,0.6422018348623854,0.728
<class 'torch.optim.adam.Adam'>,0.001,128,80,0.6422018348623854,0.74
<class 'torch.optim.adam.Adam'>,0.0005,128,140,0.6412844036697247,0.772
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,90,0.6412844036697247,0.736
<class 'torch.optim.adam.Adam'>,0.002,16,180,0.6412844036697247,0.636
<class 'torch.optim.adamw.AdamW'>,0.002,32,60,0.6412844036697247,0.742
<class 'torch.optim.adamw.AdamW'>,0.001,128,70,0.6412844036697247,0.724
<class 'torch.optim.adagrad.Adagrad'>,0.002,32,200,0.6412844036697247,0.708
<class 'torch.optim.adam.Adam'>,0.0025,64,160,0.6403669724770642,0.776
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,200,0.6403669724770642,0.698
<class 'torch.optim.adam.Adam'>,0.001,128,90,0.6403669724770642,0.754
<class 'torch.optim.adamw.AdamW'>,0.0025,128,180,0.6403669724770642,0.74
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,100,0.6394495412844037,0.738
<class 'torch.optim.adamw.AdamW'>,0.002,64,180,0.6394495412844037,0.776
<class 'torch.optim.adagrad.Adagrad'>,0.001,16,256,0.6394495412844037,0.73
<class 'torch.optim.adam.Adam'>,0.0025,64,150,0.6394495412844037,0.78
<class 'torch.optim.adamw.AdamW'>,0.002,128,200,0.6394495412844037,0.75
<class 'torch.optim.adam.Adam'>,0.0025,32,110,0.6385321100917432,0.782
<class 'torch.optim.adam.Adam'>,0.0005,32,70,0.6385321100917432,0.736
<class 'torch.optim.adam.Adam'>,0.0025,64,170,0.6385321100917432,0.776
<class 'torch.optim.adamw.AdamW'>,0.005,128,80,0.6376146788990825,0.724
<class 'torch.optim.adam.Adam'>,0.0002,16,80,0.6376146788990825,0.742
<class 'torch.optim.adamw.AdamW'>,0.0025,64,160,0.6376146788990825,0.726
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,150,0.6376146788990825,0.762
<class 'torch.optim.adamw.AdamW'>,0.002,16,90,0.6376146788990825,0.684
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,160,0.6376146788990825,0.768
<class 'torch.optim.adamw.AdamW'>,0.002,16,80,0.6376146788990825,0.728
<class 'torch.optim.adam.Adam'>,0.002,64,90,0.636697247706422,0.78
<class 'torch.optim.adamw.AdamW'>,0.0005,32,70,0.636697247706422,0.732
<class 'torch.optim.adagrad.Adagrad'>,0.01,128,70,0.636697247706422,0.76
<class 'torch.optim.adamw.AdamW'>,0.0002,16,80,0.6357798165137615,0.75
<class 'torch.optim.adamw.AdamW'>,0.005,16,200,0.6357798165137615,0.706
<class 'torch.optim.adam.Adam'>,0.0005,128,100,0.6357798165137615,0.732
<class 'torch.optim.adamw.AdamW'>,0.002,32,160,0.634862385321101,0.772
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,80,0.6339449541284403,0.724
<class 'torch.optim.adam.Adam'>,0.005,128,150,0.6339449541284403,0.72
<class 'torch.optim.adamw.AdamW'>,0.0005,128,100,0.6339449541284403,0.73
<class 'torch.optim.adagrad.Adagrad'>,0.0025,64,160,0.6339449541284403,0.71
<class 'torch.optim.adagrad.Adagrad'>,0.002,32,160,0.6330275229357798,0.746
<class 'torch.optim.adamw.AdamW'>,0.002,16,70,0.6330275229357798,0.734
<class 'torch.optim.adamw.AdamW'>,0.0001,32,180,0.6321100917431193,0.728
<class 'torch.optim.adam.Adam'>,0.001,64,60,0.6321100917431193,0.696
<class 'torch.optim.adagrad.Adagrad'>,0.002,16,180,0.6321100917431193,0.744
<class 'torch.optim.adam.Adam'>,0.0001,32,200,0.6311926605504588,0.71
<class 'torch.optim.adam.Adam'>,0.0001,32,180,0.6311926605504588,0.728
<class 'torch.optim.adam.Adam'>,0.0001,64,256,0.6311926605504588,0.73
<class 'torch.optim.adam.Adam'>,0.0005,16,60,0.6311926605504588,0.73
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,120,0.6311926605504588,0.754
<class 'torch.optim.adam.Adam'>,0.002,64,150,0.6302752293577981,0.722
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,80,0.6293577981651376,0.748
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,160,0.6284403669724771,0.718
<class 'torch.optim.adamw.AdamW'>,0.0001,64,256,0.6284403669724771,0.73
<class 'torch.optim.adam.Adam'>,0.002,32,170,0.6284403669724771,0.728
<class 'torch.optim.adam.Adam'>,0.002,16,150,0.6284403669724771,0.738
<class 'torch.optim.adamw.AdamW'>,0.0001,32,200,0.6284403669724771,0.712
<class 'torch.optim.adam.Adam'>,0.0002,32,110,0.6275229357798165,0.746
<class 'torch.optim.adamw.AdamW'>,0.0001,32,170,0.6275229357798165,0.696
<class 'torch.optim.adamw.AdamW'>,0.005,128,140,0.6275229357798165,0.716
<class 'torch.optim.adamw.AdamW'>,0.005,128,160,0.6275229357798165,0.702
<class 'torch.optim.adam.Adam'>,0.0025,128,150,0.6275229357798165,0.746
<class 'torch.optim.adam.Adam'>,0.002,64,60,0.6275229357798165,0.736
<class 'torch.optim.adamw.AdamW'>,0.002,16,100,0.6266055045871559,0.702
<class 'torch.optim.adamw.AdamW'>,0.0002,32,90,0.6266055045871559,0.734
<class 'torch.optim.adam.Adam'>,0.0001,32,170,0.6266055045871559,0.696
<class 'torch.optim.adamw.AdamW'>,0.002,128,170,0.6256880733944954,0.756
<class 'torch.optim.adam.Adam'>,0.0002,32,90,0.6256880733944954,0.734
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,170,0.6256880733944954,0.698
<class 'torch.optim.adam.Adam'>,0.0001,16,120,0.6247706422018349,0.726
<class 'torch.optim.adamw.AdamW'>,0.002,32,140,0.6247706422018349,0.738
<class 'torch.optim.adagrad.Adagrad'>,0.0025,128,180,0.6238532110091743,0.734
<class 'torch.optim.adamw.AdamW'>,0.0025,64,60,0.6238532110091743,0.742
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,110,0.6238532110091743,0.738
<class 'torch.optim.adagrad.Adagrad'>,0.005,128,90,0.6238532110091743,0.74
<class 'torch.optim.adam.Adam'>,0.002,16,128,0.6238532110091743,0.732
<class 'torch.optim.adam.Adam'>,0.001,16,180,0.6238532110091743,0.698
<class 'torch.optim.adagrad.Adagrad'>,0.002,64,200,0.6238532110091743,0.716
<class 'torch.optim.adamw.AdamW'>,0.0001,16,120,0.6229357798165137,0.732
<class 'torch.optim.adagrad.Adagrad'>,0.025,16,120,0.6229357798165137,0.754
<class 'torch.optim.adam.Adam'>,0.002,128,150,0.6229357798165137,0.742
<class 'torch.optim.adam.Adam'>,0.0001,16,150,0.6229357798165137,0.706
<class 'torch.optim.adagrad.Adagrad'>,0.0025,64,180,0.6220183486238532,0.718
<class 'torch.optim.adam.Adam'>,0.0025,16,60,0.6220183486238532,0.708
<class 'torch.optim.adamw.AdamW'>,0.002,16,160,0.6220183486238532,0.702
<class 'torch.optim.adam.Adam'>,0.002,16,70,0.6220183486238532,0.734
<class 'torch.optim.adagrad.Adagrad'>,0.0025,16,150,0.6220183486238532,0.74
<class 'torch.optim.adamw.AdamW'>,0.005,16,150,0.6211009174311927,0.684
<class 'torch.optim.adamw.AdamW'>,0.0001,16,150,0.6211009174311927,0.712
<class 'torch.optim.adagrad.Adagrad'>,0.0025,32,120,0.6211009174311927,0.706
<class 'torch.optim.adamw.AdamW'>,0.005,32,170,0.6201834862385321,0.698
<class 'torch.optim.adamw.AdamW'>,0.002,64,200,0.6201834862385321,0.686
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,100,0.6201834862385321,0.722
<class 'torch.optim.adamw.AdamW'>,0.0002,64,150,0.6192660550458715,0.724
<class 'torch.optim.adagrad.Adagrad'>,0.025,128,150,0.6192660550458715,0.704
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,90,0.618348623853211,0.736
<class 'torch.optim.adagrad.Adagrad'>,0.0025,128,200,0.6174311926605505,0.712
<class 'torch.optim.adamw.AdamW'>,0.0025,64,200,0.6165137614678899,0.718
<class 'torch.optim.adam.Adam'>,0.005,128,90,0.6155963302752293,0.76
<class 'torch.optim.adagrad.Adagrad'>,0.025,128,128,0.6155963302752293,0.726
<class 'torch.optim.adam.Adam'>,0.0001,16,100,0.6155963302752293,0.724
<class 'torch.optim.adam.Adam'>,0.0001,16,140,0.6155963302752293,0.708
<class 'torch.optim.adagrad.Adagrad'>,0.0025,16,120,0.6155963302752293,0.73
<class 'torch.optim.adagrad.Adagrad'>,0.005,64,80,0.6155963302752293,0.74
<class 'torch.optim.adam.Adam'>,0.002,16,80,0.6146788990825688,0.738
<class 'torch.optim.adamw.AdamW'>,0.005,128,150,0.6146788990825688,0.674
<class 'torch.optim.adamw.AdamW'>,0.005,32,60,0.6146788990825688,0.726
<class 'torch.optim.adagrad.Adagrad'>,0.025,32,70,0.6137614678899083,0.768
<class 'torch.optim.adam.Adam'>,0.002,64,256,0.6137614678899083,0.722
<class 'torch.optim.adamw.AdamW'>,0.0001,16,100,0.6137614678899083,0.724
<class 'torch.optim.adagrad.Adagrad'>,0.0025,16,140,0.6128440366972477,0.732
<class 'torch.optim.adamw.AdamW'>,0.0025,128,110,0.6119266055045871,0.75
<class 'torch.optim.adam.Adam'>,0.0025,32,100,0.6119266055045871,0.716
<class 'torch.optim.adamw.AdamW'>,0.0001,16,140,0.6119266055045871,0.712
<class 'torch.optim.adam.Adam'>,0.002,16,90,0.6119266055045871,0.714
<class 'torch.optim.adam.Adam'>,0.0002,64,150,0.6110091743119266,0.728
<class 'torch.optim.adam.Adam'>,0.002,128,140,0.6110091743119266,0.716
<class 'torch.optim.adamw.AdamW'>,0.0025,64,180,0.6100917431192661,0.706
<class 'torch.optim.adam.Adam'>,0.001,16,256,0.6100917431192661,0.72
